,Tm,Score,Home,Date,Score_L3,FrDwns_L3,TotYds_L3,T_O_L3,Pen_L3,Pen_Yds_L3,ThdDwns_L3,ThdDwnAtt_L3,Pass_Cmp_L3,Pass_Att_L3,Pass_Yds_L3,Pass_TD_L3,Pass_Int_L3,QB_Rate_L3,YAC_L3,Drops_L3,QB_BadTh_L3,QB_Sk_L3,QB_Hrry_L3,QB_Hits_L3,QB_Prss_L3,Rush_Att_L3,Rush_Yds_L3,Rush_TD_L3,Rush_YAC_L3,Rush_YPC_L3,XPM_L3,XPA_L3,FGM_L3,FGA_L3,Score_opp_L3,FrDwns_opp_L3,TotYds_opp_L3,TO_opp_L3,Pen_opp_L3,Pen_Yds_opp_L3,ThdDwns_opp_L3,ThdDwnAtt_opp_L3,Pass_Cmp_opp_L3,Pass_Att_opp_L3,Pass_Yds_opp_L3,Pass_TD_opp_L3,Pass_Int_opp_L3,QB_Rate_opp_L3,YAC_opp_L3,Drops_opp_L3,QB_BadTh_opp_L3,QB_Sk_opp_L3,QB_Hrry_opp_L3,QB_Hits_opp_L3,QB_Prss_opp_L3,Rush_Att_opp_L3,Rush_Yds_opp_L3,Rush_TD_opp_L3,Rush_YAC_opp_L3,Rush_YPC_opp_L3,XPM_opp_L3,XPA_opp_L3,FGM_opp_L3,FGA_opp_L3
98,LVR,0.7627118644067796,1.0,2018-09-30,0.2812280290602296,0.5671441360787824,0.6079139474295149,0.4175,0.5763636363636363,0.5830689748935014,0.4400479616306955,0.3211991434689507,0.696561024949427,0.5545752457776656,0.5860814249363867,0.1434689507494646,0.5566666666666666,0.5025590374427583,0.7172135336808748,0.3527336860670194,0.2427272727272727,0.2503748125937031,0.4206787687450671,0.1071811361200428,0.33922829581993563,0.3941142527409116,0.2522226005372073,0.3333333333333333,0.5372869592041336,0.34065934065934056,0.2101105845181674,0.263823064770932,0.5,0.4618937644341801,0.3841304347826088,0.4240909090909091,0.4576324477283445,0.8475750577367205,0.5291005291005291,0.6316180568456251,0.433,0.6430868167202574,0.4737465455981051,0.5243227497815321,0.4520977011494253,0.23094688221709,0.5566666666666666,0.34570044777483316,0.5502397074086888,0.2,0.5586937334510151,0.4739336492890995,0.4598540145985401,0.1855555555555555,0.4910526315789473,0.5251515151515151,0.3411214953271028,0.3623978201634878,0.4438488804357222,0.2931654676258993,0.3333333333333333,0.2998500749625187,0.23094688221709,0.3856812933025403
99,NYJ,0.2033898305084746,0.0,2018-09-30,0.4766815092570893,0.37332139659803043,0.4161529135605024,0.6675,0.4854545454545454,0.3746034623402519,0.4400479616306955,0.4999999999999998,0.3708698583951451,0.4033274514746659,0.38676844783715,0.2141327623126338,0.5566666666666666,0.4079195474544311,0.4122457323929264,0.2345679012345679,0.4545454545454545,0.3493253373313343,0.526440410418311,0.1071811361200428,0.44640943193997856,0.4229659549913444,0.279953088941853,0.4433333333333333,0.5166962288887176,0.3168498168498168,0.4218009478672985,0.4739336492890995,0.4175,0.3856812933025403,0.2754347826086957,0.2877272727272727,0.3213855263847402,0.23094688221709,0.2354497354497354,0.2415010217350919,0.3330000000000001,0.5712754555198286,0.3947887879984209,0.388290125254879,0.278735632183908,0.1547344110854503,0.11,0.4550854427487891,0.283348984332526,0.466,0.382171226831421,0.368088467614534,0.4322789943227899,0.2966666666666666,0.4910526315789473,0.4645454545454545,0.3691588785046729,0.0899182561307902,0.5705887438402351,0.406474820143885,0.1116666666666666,0.1004497751124437,0.6166281755196305,0.76905311778291
100,BAL,0.4406779661016949,0.0,2018-09-30,0.6327630653855166,0.6866606982990152,0.5511646503469446,0.3325,0.5763636363636363,0.4561769237741321,0.6798561151079137,0.7494646680942183,0.6743088334457183,0.739349634484497,0.5665648854961831,0.4282655246252677,0.2233333333333333,0.5641555176438898,0.3850045998160073,0.4708994708994709,0.4545454545454545,0.4002998500749625,0.526440410418311,0.2861736334405144,0.5535905680600214,0.4134448932487017,0.2068248023304203,0.6666666666666666,0.3084753605305776,0.23809523809523805,0.5260663507109005,0.5260663507109005,0.4175,0.4618937644341801,0.6086956521739131,0.681818181818182,0.6462820311271811,0.4618937644341801,0.8236331569664903,0.690414267137284,0.233,0.2861736334405146,0.5001973943939994,0.6309350422371103,0.6312068965517241,0.76905311778291,0.4433333333333333,0.5729690212921502,0.3295111945831067,0.266,0.676963812886143,0.5797788309636651,0.56772100567721,0.63,0.8068421052631578,0.4342424242424242,0.4018691588785046,0.1825613079019074,0.2882337684792945,0.4676258992805756,0.6666666666666666,0.5997001499250375,0.1547344110854503,0.23094688221709
101,SFO,0.4576271186440678,0.0,2018-09-30,0.4452777126786968,0.6119068934646373,0.5021538937756339,0.3325,0.6672727272727272,0.6767878183630927,0.2398081534772182,0.2858672376873661,0.3371544167228592,0.3698008570708344,0.40117048346055967,0.3576017130620985,0.3333333333333333,0.553380623148065,0.4190943473372175,0.2945326278659612,0.3936363636363637,0.6491754122938531,0.4206787687450671,0.142550911039657,0.4999999999999999,0.3941142527409116,0.4565126924677486,0.2233333333333333,0.4935605768489243,0.683150183150183,0.263823064770932,0.315955766192733,0.6675,0.6166281755196305,0.6304347826086957,0.6059090909090908,0.5982549913535606,0.3071593533487298,0.4118165784832451,0.386958944826305,0.4670000000000001,0.3933547695605573,0.4212396367943152,0.4174191669094086,0.5555459770114943,0.6166281755196305,0.3333333333333333,0.6542995522251669,0.497553501705135,0.4,0.323918799646955,0.368088467614534,0.32441200324412,0.37,0.4563157894736842,0.4848484848484848,0.3925233644859812,0.1825613079019074,0.3458113599031727,0.4010791366906475,0.6666666666666666,0.5997001499250375,0.23094688221709,0.3071593533487298
102,NOR,0.559322033898305,0.0,2018-09-30,0.6876025310522615,0.7162041181736795,0.6784120514870896,0.3325,0.5763636363636363,0.6646424363273815,0.4004796163069544,0.3576017130620983,0.9103169251517196,0.7058230400806653,0.7065139949109414,0.5717344753747323,0.0,0.8126066265601148,0.6780128794848206,0.1763668430335097,0.3027272727272727,0.2503748125937031,0.3685872138910813,0.1071811361200428,0.30332261521972126,0.2114829774956723,0.1916922029281579,0.4433333333333333,0.3830492789388448,0.3663003663003663,0.4218009478672985,0.4218009478672985,0.5,0.5381062355658198,0.4058695652173913,0.3786363636363636,0.4707331132421526,0.23094688221709,0.5881834215167548,0.6068177596135984,0.3,0.3933547695605573,0.3683379392025266,0.4369356248179434,0.427183908045977,0.3071593533487298,0.2233333333333333,0.4909988120259526,0.3163149310532298,0.2,0.412180052956752,0.2101105845181674,0.3511759935117599,0.4444444444444444,0.4563157894736842,0.3636363636363636,0.3504672897196261,0.0899182561307902,0.2766490879225382,0.4550359712230216,0.2783333333333333,0.2503748125937031,0.5381062355658198,0.5381062355658198
103,NYG,0.3050847457627119,1.0,2018-09-30,0.3046636981485821,0.37332139659803043,0.3980963190342301,0.25,0.2427272727272727,0.1722106408048581,0.5995203836930456,0.6423982869379012,0.6517194875252867,0.5462566170910008,0.47073791348600497,0.2141327623126338,0.11,0.6147975217742659,0.4974445466625778,0.2945326278659612,0.3027272727272727,0.5997001499250375,0.3946329913180741,0.2861736334405144,0.5359056806002144,0.2498557414887478,0.2106079521809858,0.2233333333333333,0.4241536207295442,0.3663003663003663,0.2101105845181674,0.2101105845181674,0.5825,0.5381062355658198,0.7028260869565217,0.5604545454545454,0.6742388513336477,0.0762124711316397,0.3527336860670194,0.4551365409622887,0.433,0.4287245444801716,0.5132254243979472,0.388290125254879,0.7298850574712643,0.76905311778291,0.11,0.911084711687837,0.4316216082637275,0.2,0.264783759929391,0.315955766192733,0.3787510137875101,0.2966666666666666,0.4384210526315789,0.4748484848484849,0.2242990654205607,0.1825613079019074,0.3343131321863922,0.1798561151079137,0.5,0.5502248875562219,0.3071593533487298,0.5381062355658198
104,PHI,0.3898305084745763,0.0,2018-09-30,0.3360674947269745,0.5971351835273052,0.4539943766605618,0.5,0.6972727272727273,0.7130426901114837,0.5995203836930456,0.7141327623126337,0.6405933917734324,0.6301991429291656,0.4037150127226462,0.1434689507494646,0.2233333333333333,0.4280326838466373,0.3475416538893999,0.4109347442680776,0.3336363636363636,0.4992503748125937,0.4206787687450671,0.4287245444801715,0.5894962486602359,0.4327755337564917,0.3278855975485189,0.5566666666666666,0.4370324670316959,0.4267399267399266,0.315955766192733,0.315955766192733,0.25,0.3856812933025403,0.3189130434782609,0.3331818181818181,0.4541476707016716,0.3071593533487298,0.6472663139329806,0.6005944640535017,0.3,0.3933547695605573,0.434267666798263,0.3979027090008737,0.4022988505747125,0.3071593533487298,0.3333333333333333,0.5184135977337111,0.2471210398853358,0.266,0.293909973521624,0.4218009478672985,0.4598540145985401,0.3333333333333333,0.5436842105263158,0.383939393939394,0.3831775700934579,0.0,0.3314601884671911,0.5089928057553956,0.2783333333333333,0.2503748125937031,0.3856812933025403,0.4618937644341801
105,PIT,0.23728813559322035,1.0,2018-09-30,0.5624560581204592,0.7761862130707253,0.743751128537158,0.5825,1.0,1.0,0.3597122302158273,0.4282655246252675,0.7754551584625761,0.7897655659188303,0.7591094147582695,0.4989293361884369,0.4433333333333333,0.5752895752895754,0.9710722682203822,0.2345679012345679,0.8481818181818181,0.4002998500749625,0.4996053670086819,0.2143622722400857,0.4999999999999999,0.2787074437391806,0.2194226913328036,0.4433333333333333,0.2801727462018971,0.3168498168498168,0.4739336492890995,0.5797788309636651,0.0825,0.3071593533487298,0.3260869565217391,0.3481818181818181,0.2864591521249279,0.23094688221709,0.8236331569664903,0.9040497863644807,0.3330000000000001,0.6430868167202574,0.3553099091985788,0.5435479172735216,0.2681896551724138,0.3071593533487298,0.3333333333333333,0.30668006945079046,0.2059506746404388,0.534,0.5004413062665489,0.4739336492890995,0.48661800486618,0.3333333333333333,0.5789473684210527,0.383939393939394,0.3146728971962617,0.1825613079019074,0.299731996196075,0.406474820143885,0.3333333333333333,0.2998500749625187,0.23094688221709,0.3071593533487298
106,TAM,0.1694915254237288,0.0,2018-09-30,0.6719006327630653,0.6566696508504924,0.7953413986122216,0.5,0.4854545454545454,0.4955134596211366,0.4400479616306955,0.2505353319057815,0.6180040458530008,0.5545752457776656,0.835445292620865,0.7858672376873662,0.4433333333333333,0.8637873754152825,0.490647040785035,0.1763668430335097,0.3936363636363637,0.2503748125937031,0.3157063930544593,0.6430868167202572,0.5359056806002144,0.3075591459896133,0.1538607044225022,0.11,0.1799182540294593,0.23076923076923064,0.631911532385466,0.684044233807267,0.3325,0.3856812933025403,0.355,0.2572727272727273,0.3283812817691138,0.6166281755196305,0.4409171075837742,0.4086940367824633,0.3330000000000001,0.4287245444801716,0.434267666798263,0.4465482085639382,0.4645402298850574,0.5381062355658198,0.5566666666666666,0.529653659873892,0.3624277170958335,0.134,0.323918799646955,0.7377567140600316,0.48661800486618,0.37,0.6842105263157894,0.222121212121212,0.1355140186915888,0.0,0.1844903605083426,0.2517985611510792,0.3883333333333333,0.3493253373313343,0.1547344110854503,0.1547344110854503
107,CHI,0.8135593220338984,1.0,2018-09-30,0.3672369346144832,0.46284691136974043,0.3319060025279232,0.4175,0.4545454545454545,0.3172301277984229,0.5203836930455635,0.6423982869379012,0.550573162508429,0.4958406856566675,0.29346055979643754,0.1434689507494646,0.3333333333333333,0.4202208853371645,0.2964325871409587,0.1181657848324515,0.3936363636363637,0.4497751124437781,0.3157063930544593,0.1071811361200428,0.33922829581993563,0.4229659549913444,0.3165361479968221,0.2233333333333333,0.3572915863345415,0.4212454212454213,0.315955766192733,0.315955766192733,0.5825,0.6166281755196305,0.6158695652173912,0.6513636363636363,0.7065450924906984,0.3856812933025403,0.6763668430335097,0.8266765744008917,0.3,0.3933547695605573,0.9474930911962104,0.7573550830177687,0.8151149425287356,0.5381062355658198,0.11,0.7590240336288037,0.7232244353284238,0.2,0.235657546337158,0.368088467614534,0.32441200324412,0.4811111111111111,0.5089473684210526,0.2324242424242425,0.1604672897196261,0.3623978201634878,0.1988415319443243,0.2805755395683453,0.5,0.4992503748125937,0.1547344110854503,0.3071593533487298
